"Survey","SightingTime","distance","object","Sample.Label","size","detected","observer","Beaufort","long","lat","x","y"
"en04395",2004-06-28 10:22:21,246.017321,1,48,2,1,1,3,-65.636,39.5760000000001,633725.573975895,642049.039234683
"en04395",2004-06-28 13:18:14,1632.39336,2,50,2,1,1,2.5,-65.648,39.746,631348.255545316,660752.320773149
"en04395",2004-06-28 14:13:34,2368.994088,3,51,1,1,1,3,-65.692,39.8430000000001,626812.70975779,671194.598725075
"en04395",2004-06-28 15:06:01,244.697667,4,52,1,1,1,3.5,-65.717,39.967,623699.581730041,684733.441852077
"en04395",2004-06-29 10:48:31,2081.346849,5,56,1,1,1,4,-65.8199999999999,40.2790000000001,612482.05620597,718549.652500603
"en04395",2004-06-29 14:35:34,1149.263222,6,59,1,1,1,2.4,-65.938,40.6120000000001,599902.397573685,754586.766898291
"en04395",2004-06-29 14:39:18,1533.383222,7,59,1,1,1,2.4,-65.9469999999999,40.6170000000001,599101.14533873,755085.623695281
"en04395",2004-06-29 14:56:28,2959.174148,8,60,1,1,1,2.4,-65.992,40.645,595073.662823755,757911.748778246
"en04395",2004-06-29 15:03:02,1475.212643,9,60,1,1,1,2,-66.009,40.6560000000001,593549.672949466,759026.392140429
"en04395",2004-06-29 15:38:17,5088.76259,10,61,1,1,1,2,-66.097,40.7250000000001,585577.4736694,766129.777312106
"en04395",2004-06-30 15:36:03,2367.78617,11,72,1,1,1,2.5,-66.915,40.6630000000001,516679.409871944,754901.797758839
"en04395",2004-07-02 11:08:08,8044.475248,12,97,4,1,1,3,-67.477,39.2350000000001,477502.874146841,594384.824283956
"en04395",2004-07-03 06:45:20,5346.350186,13,109,1,1,1,2.5,-67.603,38.183,472746.93098151,477302.190271432
"en04395",2004-07-21 09:47:20,1046.839674,14,238,1,1,1,2,-68.514,38.7540000000001,390238.581557945,536745.692881676
"en04395",2004-07-21 09:49:35,982.521241,15,238,1,1,1,2,-68.515,38.748,390180.691713372,536077.168029771
"en04395",2004-07-21 10:11:14,56.580948,16,239,1,1,1,2,-68.5339999999999,38.6900000000001,388808.389936123,529579.126311349
"en04395",2004-06-25 10:49:06,135.356618,17,22,1,1,1,2.5,-68.903,39.8070000000001,351765.157872181,651916.84613343
"en04395",2004-06-25 10:46:09,1106.137683,18,22,1,1,1,2.5,-68.905,39.7980000000001,351633.246408261,650914.391492575
"en04395",2004-06-25 10:19:31,3666.026471,19,21,1,1,1,3,-68.931,39.76,349568.458435381,646621.772445576
"en04395",2004-06-25 10:16:31,2339.425671,20,21,1,1,1,3,-68.939,39.765,348859.652824998,647147.732082795
"en04395",2004-06-25 10:13:31,4066.60171,21,21,1,1,1,3,-68.9469999999999,39.7690000000001,348155.299357265,647563.112641415
"en04395",2004-06-25 10:12:07,2040.535952,22,21,2,1,1,3,-68.951,39.772,347798.784155324,647881.453780578
"en04395",2004-06-25 10:05:30,3036.220498,23,21,2,1,1,3,-68.968,39.782,346295.82705671,648930.313998777
"en04395",2004-06-25 10:05:03,4976.214385,24,21,1,1,1,3,-68.9689999999999,39.7830000000001,346205.640201957,649037.572353769
"en04395",2004-07-07 14:48:59,384.868466,25,154,1,1,1,3.7,-70.114,37.785,254121.675772542,424271.920943956
"en04395",2004-07-07 15:01:34,84.898867,26,154,2,1,1,3.7,-70.136,37.8120000000001,252101.43340313,427214.081403721
"en04395",2004-07-11 08:25:09,4890.28426,27,213,2,1,1,2.4,-70.314,39.2490000000001,232268.826687795,586131.913486403
"en04395",2004-07-11 08:26:05,416.293743,28,213,1,1,1,2.4,-70.3149999999999,39.251,232176.579484002,586351.201547943
"en04395",2004-07-11 08:16:31,2974.491877,29,213,2,1,1,2.4,-70.319,39.2350000000001,231877.046946014,584569.752479536
"en04395",2004-07-11 08:40:11,5054.431903,30,214,4,1,1,3,-70.323,39.2860000000001,231383.889413277,590210.149026443
"en04395",2004-07-11 08:10:08,3970.641257,31,213,2,1,1,2.4,-70.335,39.246,230461.909353201,585752.282409791
"en04395",2004-07-11 08:07:05,5716.715197,32,213,1,1,1,2.4,-70.343,39.251,229755.914184076,586288.236527093
"en04395",2004-07-29 14:10:23,553.672942,33,335,1,1,1,3.9,-70.359,39.7660000000001,226906.016839169,643278.203660668
"en04395",2004-07-11 07:43:06,574.168362,34,212,2,1,1,2,-70.405,39.289,224289.433401935,590360.558317935
"en04395",2004-07-11 07:33:25,3865.495155,35,212,1,1,1,2,-70.429,39.3050000000001,222171.141833681,592080.703452389
"en04395",2004-07-29 12:56:23,256.972398,36,332,1,1,1,3.5,-70.514,39.6080000000001,214015.043932867,625455.109367405
"en04395",2004-07-29 10:54:05,2981.139172,37,331,1,1,1,3.6,-70.667,39.7430000000001,200506.363224979,640091.524917124
"en04395",2004-07-10 17:06:05,1280.731075,38,208,2,1,1,3.9,-70.7839999999999,39.5650000000001,190877.822862648,620161.822413802
"en04395",2004-07-22 09:03:08,2977.171405,39,253,3,1,1,2,-71.196,38.085,158275.915844738,455392.717424995
"en04395",2004-07-22 09:25:09,524.465044,40,254,1,1,1,2,-71.235,38.0290000000001,154961.352240276,449118.777523594
"en04395",2004-07-22 09:43:05,661.067585,41,254,1,1,1,2,-71.2669999999999,37.984,152236.396890901,444076.840852965
"en04395",2004-07-22 09:49:07,974.442229,42,254,1,1,1,2,-71.278,37.9690000000001,151298.099991662,442395.832023359
"en04395",2004-07-22 09:49:23,1074.227844,43,254,2,1,1,2,-71.2789999999999,37.9680000000001,151212.106218987,442283.374633762
"en04395",2004-07-10 06:11:32,160.355743,44,191,4,1,1,3,-71.282,39.2620000000001,148548.028194369,585777.589116688
"en04395",2004-07-10 06:14:00,3358.609898,45,191,1,1,1,3,-71.283,39.268,148450.456527894,586440.909192481
"en04395",2004-07-10 06:14:10,1285.633176,46,191,1,1,1,3,-71.2839999999999,39.2690000000001,148362.154116451,586550.257998206
"en04395",2004-07-10 06:16:08,497.230737,47,191,2,1,1,3,-71.285,39.2740000000001,148266.453195629,587102.780113898
"en04395",2004-07-10 08:15:33,1045.303073,48,194,1,1,1,3.5,-71.354,39.5690000000001,141778.019608166,619681.700206071
"en04395",2004-07-10 08:45:16,2486.397335,49,195,2,1,1,3.5,-71.374,39.65,139913.457909319,628623.707497597
"en04395",2004-08-02 07:00:11,2744.80941,50,381,2,1,1,2.9,-71.41,39.6170000000001,136872.565557609,624921.11871271
"en04395",2004-08-02 07:13:23,635.570297,51,381,2,1,1,3.1,-71.431,39.583,135122.476385773,621128.271913442
"en04395",2004-08-02 07:18:10,397.390537,52,381,2,1,1,3.1,-71.439,39.5700000000001,134455.450295433,619678.138863221
"en04395",2004-08-02 07:40:08,227.952364,53,382,1,1,1,2.9,-71.475,39.513,131448.586429096,613318.906406293
"en04395",2004-08-02 07:46:20,3447.277253,54,382,1,1,1,2.9,-71.485,39.4970000000001,130612.83210834,611534.068891566
"en04395",2004-08-02 07:47:24,1599.924242,55,382,1,1,1,2.9,-71.487,39.494,130445.313433768,611199.25666685
"en04395",2004-08-02 08:07:12,1555.697246,56,383,1,1,1,2.7,-71.5189999999999,39.4440000000001,127766.445878464,605620.936646741
"en04395",2004-08-02 10:07:23,4451.573445,57,385,1,1,1,2,-71.6709999999999,39.513,114555.223155954,613084.180599565
"en04395",2004-07-08 17:11:35,1114.528577,58,176,1,1,1,3.5,-71.842,39.2500000000001,100144.79046092,583770.000831336
"en04395",2004-07-22 16:09:24,3430.62858,59,264,3,1,1,1,-71.8609999999999,37.308,100891.195705186,368291.066802601
"en04395",2004-07-22 16:17:33,21.388373,60,264,1,1,1,1,-71.8799999999999,37.3260000000001,99186.4657408209,370271.722355532
"en04395",2004-07-27 11:06:03,69.521787,61,312,1,1,1,4.5,-72.0099999999999,38.5570000000001,86357.0672899985,506789.520779864
"en04395",2004-07-27 10:23:17,3323.24873,62,311,2,1,1,3.5,-72.03,38.6730000000001,84491.0255402067,519638.284358184
"en04395",2004-07-27 09:00:22,2908.96835,63,308,1,1,1,2.5,-72.032,38.8600000000001,84121.3887587295,540372.322368619
"en04395",2004-07-27 16:19:28,3130.525143,64,315,1,1,1,2,-72.049,39.4180000000001,82071.4794205182,602199.428178294
"en04395",2004-07-27 16:04:17,1526.703163,65,315,1,1,1,2,-72.054,39.3720000000001,81686.9286871382,597099.458364295
"en04395",2004-07-27 06:45:00,981.363048,66,306,2,1,1,2.8,-72.08,39.0410000000001,79770.4580560184,560399.224588303
"en04395",2004-08-03 08:50:15,3792.903857,67,396,3,1,1,1.8,-72.446,38.8530000000001,48148.518337839,539329.624337768
"en04395",2004-08-03 07:45:11,1623.890329,68,394,1,1,1,1.8,-72.528,38.8440000000001,41026.4827424006,538296.134332467
"en04395",2004-08-03 09:34:14,874.535298,69,397,1,1,1,2,-72.535,38.962,40358.8136686709,551375.852667797
"en04395",2004-08-03 09:36:08,1216.193181,70,397,5,1,1,2,-72.538,38.9660000000001,40096.4413303222,551818.113234487
"en04395",2004-08-03 07:40:22,3788.280922,71,394,4,1,1,1.8,-72.544,38.8500000000001,39632.8101892249,538955.116281486
"en04395",2004-08-03 07:39:08,3602.79816,72,393,1,1,1,1.8,-72.5479999999999,38.852,39284.1803146711,539175.333252696
"en04395",2004-08-03 07:38:21,407.882109,73,393,1,1,1,1.8,-72.55,38.8530000000001,39109.8718332064,539285.446609715
"en04395",2004-08-03 07:38:08,531.171735,74,393,1,1,1,1.8,-72.551,38.854,39022.476851902,539395.942724567
"en04395",2004-08-03 07:28:31,42.58191,75,393,1,1,1,2.5,-72.583,38.8670000000001,36235.5287028997,540825.599937097
"en04395",2004-08-03 07:27:14,323.180142,76,393,1,1,1,2.5,-72.587,38.869,35887.0559016935,541045.944247088
"en04395",2004-08-03 07:23:11,5231.174293,77,393,1,1,1,2.5,-72.6009999999999,38.8750000000001,34667.9674285773,541706.37827462
"en04395",2004-08-03 07:18:59,3710.903185,78,393,3,1,1,2.5,-72.614,38.881,33535.9399541625,542367.29924829
"en04395",2004-07-24 15:17:59,3424.93419,79,301,1,1,1,3,-72.941,38.7260000000001,5135.84454515192,525118.541613041
"en04395",2004-07-24 07:28:31,4936.626895,80,289,1,1,1,1.8,-73.3439999999999,38.313,-30097.970822739,479354.525453973
"en04395",2004-07-23 15:10:19,1646.564943,81,281,1,1,1,4,-73.499,38.148,-43748.4212992559,461100.818666396
"GU0403",2004-06-28 11:11:11,588.4028371,82,438,1,1,1,4,-78.5902347699999,29.8011168300001,-540313.893922487,-451590.046613271
"GU0403",2004-07-02 08:04:26,1585.717584,83,503,2.2,1,1,3,-76.0520750599999,31.6110440200001,-289128.914350901,-261201.365590746
"GU0403",2004-07-02 08:09:45,2641.243462,84,503,2,1,1,3,-76.02420734,31.61148695,-286488.270297367,-261230.290825201
"GU0403",2004-07-02 15:53:47,2088.335633,85,514,1,1,1,2,-75.5231598999999,31.93831204,-238142.071334068,-226224.58284195
"GU0403",2004-07-02 17:09:21,656.5268989,86,515,2.25,1,1,2,-75.5087893099999,32.0167116100001,-236573.30778041,-217551.606005052
"GU0403",2004-07-05 08:03:45,3123.546559,87,562,3,1,1,3,-74.2719441,34.2939597600001,-116815.736541265,33410.0394938608
"GU0403",2004-07-05 11:27:33,718.3255981,88,568,1,1,1,5,-74.54900013,34.8050485000001,-141401.810428913,90585.1049254041
"GU0403",2004-07-07 06:08:07,329.5252407,89,605,1,1,1,2,-72.2278907,34.92423674,70385.0388038388,103036.820871068
"GU0403",2004-07-08 08:22:48,1151.412956,90,619,1,1,1,4,-74.10554677,35.6858429700001,-99868.5077774222,187992.701934752
"GU0403",2004-07-08 18:11:45,2209.027657,91,621,1,1,1,2,-74.2859029799999,35.8113681200001,-115985.304538699,202136.786397112
"GU0403",2004-07-08 18:24:53,286.6639081,92,621,2,1,1,2,-74.31957708,35.82268393,-119006.298647163,203433.234019321
"GU0403",2004-07-08 18:38:28,1958.403533,93,621,1.5,1,1,2,-74.34420722,35.83583071,-121208.31869385,204923.490174993
"GU0403",2004-07-09 06:14:37,3419.639735,94,623,1.333333333,1,1,3,-74.62383841,35.8466724900001,-146401.927671575,206492.974661978
"GU0403",2004-07-20 19:23:41,8230.566536,95,741,1,1,1,3,-75.25644468,34.86021242,-205837.982372451,97914.0773537024
"GU0403",2004-07-21 19:11:35,1705.118912,96,759,4.5,1,1,2,-73.9971968999999,36.16160739,-89567.6465719744,240780.408210729
"GU0403",2004-07-22 08:25:09,3152.492837,97,761,3.5,1,1,1,-74.25611523,36.6861014900001,-112109.597377081,299324.522191191
